seed,topology_model,n_cells,n_sites,missing_rate,mutation_rate,repeat,triplet_samples_requested,possible_triplets,simulation_seconds,sampled_triplets_inferred,sampled_triplet_coverage,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,evaluation_seconds,status,error
305122052,random_binary_leaf_splitting,512,30,0.1,0.8,26,50000,22238720,0.2516809489998195,48324,0.96648,NeighborJoining,0.364,0.025490196078431393,0.0,1.9029660040000635,0.9808037660000082,ok,
305122053,random_binary_leaf_splitting,512,30,0.1,0.8,27,50000,22238720,0.3288583280000239,48347,0.96694,SampledRecursiveTMC_SMJ32,0.595,0.0,1.836366162000104,63.943495964999784,0.799027801000193,ok,
305122053,random_binary_leaf_splitting,512,30,0.1,0.8,27,50000,22238720,0.3288583280000239,48347,0.96694,VanillaGreedy,0.5652,0.03137254901960784,0.0,1.2783230629997888,0.7653878139999506,ok,
305122053,random_binary_leaf_splitting,512,30,0.1,0.8,27,50000,22238720,0.3288583280000239,48347,0.96694,UPGMA,0.706,0.045098039215686225,0.0,1.580924983999921,0.8346030409998093,ok,
305122053,random_binary_leaf_splitting,512,30,0.1,0.8,27,50000,22238720,0.3288583280000239,48347,0.96694,NeighborJoining,0.5546,0.04313725490196074,0.0,1.42095796600006,1.156778187999862,ok,
305122054,random_binary_leaf_splitting,512,30,0.1,0.8,28,50000,22238720,0.3966382190001241,48294,0.96588,SampledRecursiveTMC_SMJ32,0.5144,0.0,2.244280341000376,64.41460877799955,0.7164548480000121,ok,
305122054,random_binary_leaf_splitting,512,30,0.1,0.8,28,50000,22238720,0.3966382190001241,48294,0.96588,VanillaGreedy,0.4594,0.02352941176470591,0.0,1.3737966140001845,0.8221531429999231,ok,
305122054,random_binary_leaf_splitting,512,30,0.1,0.8,28,50000,22238720,0.3966382190001241,48294,0.96588,UPGMA,0.4658,0.06666666666666665,0.0,1.1633007290001842,0.6439261509999596,ok,
305122054,random_binary_leaf_splitting,512,30,0.1,0.8,28,50000,22238720,0.3966382190001241,48294,0.96588,NeighborJoining,0.4888,0.06274509803921569,0.0,1.5208830440001293,1.048028942000201,ok,
305122055,random_binary_leaf_splitting,512,30,0.1,0.8,29,50000,22238720,0.25021740600004705,48332,0.96664,SampledRecursiveTMC_SMJ32,0.5282,0.0,2.1710061590001715,70.17742815600013,0.8857083359998796,ok,
305122055,random_binary_leaf_splitting,512,30,0.1,0.8,29,50000,22238720,0.25021740600004705,48332,0.96664,VanillaGreedy,0.614,0.019607843137254943,0.0,1.3815993260000141,0.9951060789999246,ok,
305122055,random_binary_leaf_splitting,512,30,0.1,0.8,29,50000,22238720,0.25021740600004705,48332,0.96664,UPGMA,0.5156,0.021568627450980427,0.0,1.583006069000021,1.0078293690003193,ok,
305122055,random_binary_leaf_splitting,512,30,0.1,0.8,29,50000,22238720,0.25021740600004705,48332,0.96664,NeighborJoining,0.4364,0.025490196078431393,0.0,1.2857371869999952,0.7504852160000155,ok,
305122056,random_binary_leaf_splitting,512,30,0.1,0.8,30,50000,22238720,0.24752869900021324,48318,0.96636,SampledRecursiveTMC_SMJ32,0.5804,0.0,1.6607341290000477,62.181396294000024,0.5911160839996228,ok,
305122056,random_binary_leaf_splitting,512,30,0.1,0.8,30,50000,22238720,0.24752869900021324,48318,0.96636,VanillaGreedy,0.493,0.03529411764705881,0.0,0.8500011679998352,0.7151801650002199,ok,
305122056,random_binary_leaf_splitting,512,30,0.1,0.8,30,50000,22238720,0.24752869900021324,48318,0.96636,UPGMA,0.6824,0.07058823529411762,0.0,1.445628365000175,0.9646931970000878,ok,
305122056,random_binary_leaf_splitting,512,30,0.1,0.8,30,50000,22238720,0.24752869900021324,48318,0.96636,NeighborJoining,0.4784,0.08235294117647063,0.0,1.406173075999959,0.8187475529998665,ok,
